Designator,Footprint,Quantity,Value,LCSC Part #
,af4c8d2e-6e3c-4016-b70e-df9501a44249,1,,
"C1, C2, C3, C4, C42, C43, C44, C45, C46, C5",0603,10,22uf,C59461
"C10, C14, C49, C53, C7, C8, C9",0603,7,10uf,C96446
"C11, C13, C15, C17, C48, C50, C52, C54, C56, C6",0603,10,100nf,C14663
"C12, C16, C51, C55",0603,4,10nf,C57112
"C32, C33, C34, C35",0402,4,100nF,C1525
"C36, C39",0402,2,18pF,C1549
"D1, D9",0603,2,green,C72043
"D10, D4",0603,2,blue,C72041
"D11, D2",SOT-23-3,2,ESDA6V1L,C587141
D3,0603,1,red,C72044
D8,SOT-143,1,PRTR5V0U2X,C2827688
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV_pickle,1,USB4105GFA060,C2988369
J2,USB_A_CUI_UJ2-ADH-TH_Horizontal_Stacked,1,USB_A_Stacked,C456021
"J4, J5",DTF13-3P,2,DTF13-3P,
"R1, R10, R11, R2, R27, R28, R7, R8, R9",0603,9,1k,C21190
"R12, R13, R14, R15, R22",0402,5,100k,C25741
R20,0603,1,1M,C3152128
R21,0402,1,12k,C25752
"R23, R24",0402,2,0R,C25086
"R3, R4",0603,2,5.1k,C23186
"R32, R5",0603,2,10r,C22859
"R33, R6",0603,2,120r,C22787
"SW1, SW4",MS-22C01-G010_pickle,2,~,C2837066
"SW2, SW3",smol_button,2,smol_button,C720477
"TP1, TP3, TP7",TestPoint_Pad_D1.0mm,3,testpad,
"TP4, TP5",TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded,2,TestPoint_Probe,
"U1, U7",LQFP-48_7x7mm_P0.5mm,2,STM32F072C8Tx,C80488
U2,QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm,1,USB2514B_Bi,C16251
"U3, U8",SOIC-20W_7.5x12.8mm_P1.27mm,2,ADM3053,C117821
U4,SOT-23-5,1,RS3236-3.3YF5,C379349
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24mhz,C362370
