Designator,Mid X,Mid Y,Rotation,Layer
,80.14,-103.3,0.0,top
C1,95.5,-77.75,270.0,bottom
C10,62.0,-105.5,90.0,bottom
C11,63.5,-105.5,90.0,bottom
C12,65.0,-105.5,90.0,bottom
C13,66.5,-105.5,90.0,bottom
C14,99.5,-90.5,270.0,bottom
C15,98.0,-90.5,270.0,bottom
C16,87.75,-90.5,270.0,bottom
C17,89.25,-90.5,270.0,bottom
C2,96.75,-75.49,180.0,bottom
C3,88.5,-75.75,270.0,bottom
C32,72.25,-59.25,270.0,bottom
C33,74.11,-59.26,270.0,bottom
C34,77.25,-61.5,90.0,bottom
C35,71.24,-63.16,180.0,bottom
C36,65.5,-64.57,0.0,bottom
C39,65.51,-59.41,180.0,bottom
C4,96.745,-71.05,180.0,bottom
C42,68.5,-77.75,270.0,bottom
C43,69.74,-75.46,180.0,bottom
C44,69.75,-71.04,180.0,bottom
C45,64.25,-69.5,0.0,bottom
C46,61.5,-75.75,270.0,bottom
C48,69.75,-74.0,0.0,bottom
C49,90.5,-105.5,90.0,bottom
C5,91.25,-69.5,0.0,bottom
C50,89.0,-105.5,90.0,bottom
C51,93.5,-105.5,90.0,bottom
C52,92.0,-105.5,90.0,bottom
C53,71.0,-90.5,270.0,bottom
C54,72.5,-90.5,270.0,bottom
C55,60.75,-90.5,270.0,bottom
C56,62.25,-90.5,270.0,bottom
C6,96.75,-74.0,0.0,bottom
C7,56.0,-60.0,0.0,top
C8,56.0,-67.5,0.0,top
C9,56.0,-66.0,0.0,top
D1,102.065,-70.25,90.0,top
D10,72.0,-70.25,90.0,top
D11,66.5,-89.75,270.0,bottom
D2,93.5,-89.75,270.0,bottom
D3,59.95,-63.0,90.0,top
D4,99.065,-70.25,90.0,top
D8,66.0,-59.75,180.0,top
D9,75.0,-70.25,90.0,top
J1,66.0,-53.0,180.0,top
J2,92.0,-58.0,270.0,top
J4,65.9666,-95.8425,180.0,top
J5,92.9666,-95.8425,180.0,top
R1,94.0,-77.75,270.0,bottom
R10,76.5,-70.25,90.0,top
R11,73.5,-70.25,90.0,top
R12,70.39,-59.25,270.0,bottom
R13,71.32,-59.25,270.0,bottom
R14,73.17,-59.24,270.0,bottom
R15,71.25,-61.25,180.0,bottom
R2,96.745,-72.51,180.0,bottom
R20,68.0,-62.0,90.0,bottom
R21,71.23,-64.09,180.0,bottom
R22,75.05,-59.26,270.0,bottom
R23,69.25,-60.75,180.0,top
R24,69.25,-61.75,180.0,top
R27,67.0,-77.75,270.0,bottom
R28,69.75,-72.52,180.0,bottom
R3,64.25,-54.25,270.0,bottom
R32,69.5,-90.5,270.0,bottom
R33,66.5,-83.75,0.0,bottom
R4,67.25,-54.25,270.0,bottom
R5,96.5,-90.5,270.0,bottom
R6,93.5,-83.5,0.0,bottom
R7,103.57,-70.25,90.0,top
R8,100.565,-70.25,90.0,top
R9,58.5,-63.0,90.0,top
SW1,102.722361,-94.0,90.0,top
SW2,73.0,-76.0,90.0,top
SW3,100.0,-76.0,90.0,top
SW4,57.277639,-94.0,270.0,top
TP4,75.0,-54.5,0.0,top
TP5,79.0,-54.5,0.0,top
U1,93.0,-74.0,90.0,top
U2,74.0,-62.0,180.0,top
U3,93.5,-98.0,0.0,bottom
U4,56.0,-63.0,90.0,top
U7,66.0,-74.0,90.0,top
U8,66.5,-98.0,0.0,bottom
Y1,65.5,-62.0,270.0,bottom
